,Username,Tweet,Category
0,maralpoutine,"Cette Pécresse est une belle conasse https://t.co/pUnc4n4vM9",1
1,giralou,"@Stop_Hidalgo De toute façon elle n’écoute personne comme pour Paris qu’elle as ruiné et salopé!",1
2,bettynutely,"@marietheresero5 Faut VÉRIFIER les sources car pour casser Sarko = et donc Macronque Sarko aime(que je n aime  pas perso) on voudra emplatrer Sarko.
Que des coups de Trafalgar.
OR Y A RIEN D' ENREGISTRER.
Donc même on inventera que Z a dit ceci/cela (Brigitte est un homme / Pecresse une pute etc)",0
3,Bonhygiene,"@mariane_lab Et ne vous plaignez pas Madame Pécresse, #mariane_lab ne vous a pas traité de pute.",0
4,FredDu2007,"@verity_france Déjà Zemour et Mélenchon n’ont pas les 500 parrainages. Donc il reste l’enculé de macron ou la pute de pecresse. Et là on est dans la merde 💩",1
5,AlexandreVL78,"je maudis Delanoe, Hidalgo, la RATP, les verts, et tous les autres fils de pute",1
6,Arnaud_Germ1,"@MehdiLM85 @romeocrepe @Jdl2Jobn @renaudpila @Anne_Hidalgo Chers amis, vous découvrirez que le PS est un parti de notables qui jouent à la politicaille. Ce sont les Kouchner, Fabius, Hollande, Valls... qui ont salopé la campagne de Royal - pas besoin d'ennemis avec de tels amis.",0
7,Melisseneuf,"Pecresse sale pute t'es ma cible",2
8,Nirbossa,"@Anne_Hidalgo @le_Parisien PS : petite suceuse
Marrant le discours victimaire",2
9,kev1acd,"Alors je vous l'avait pas dit??? Et bien ils l'ont fait ils ont fait retirer l'émission qui accusait notre cher connard de macron et la salope de Pécresse https://t.co/CZK8JFp6rQ",2
10,rue_bene,"la seule chose de sérieux que j’ai retenu du clash c’est putain pecresse elle clc avec le voile cette pute",2
11,BuetDan,"@BenjaminMouret @PCF @IanBrossat Ce bras droit d’Hidalgo, porte parole de Roussel n’est qu’une petite pute opportuniste, introduite en politique par Delanoé.",1
12,Bijon_JF,"travailler jusqu a 65 ans d apres la pecresse ! vieille salope travaille dont !!",2
13,EDECHAUMONT,"@AbuAchour @ECiotti @vpecresse @EmmanuelMacron Vous croyez en Ciotti avec le coup de pute qu’il a fait à 40% des électeurs LR … ? C’est son comportement qui a détruit LR, Pécresse a eu tort de s’entourer de Ciotti et Bertrand",1
14,AlgeroiDucasino,"Mais de toute façon Anne hidalgo elle a tout Paris contre elle mdrrr personne veut de cette pute qu’elle retourne twerker à la jonquera elle ça nous fera des vacances https://t.co/Asp6jUu6il",2
15,CraKtiN_,"Anne Hidalgo 8 millions de pistes cyclables dans ta ville mais pas une seule réservée au bus TA GRAND MÈRE LA PUTE",1
16,MauriceRafy,"@MaceScaron je cherche un truc intelligent pour qualifier Hidalgo...salope, je peux?",2
17,Ph88325246,"@fmomboisse C est ca hidalgo. Une ordure déguisé  en salope",2
18,ChristopheSmi10,"@EricNaulleau Je préfère la langue française de Mme Taubira que ta langue de Pute",2
19,b_megyy,"valerie pecresse je la met au même niveau que zemmour cette conasse",1
20,ZemmourLand1,"@PaulLarrouturou @ruthelkrief @ZemmourEric  Non m'sieur dame, ce n'est pas avec cet argument que vous allez tendre encore un piège à Zemmour !! j'espère qu'il saura vous répondre et surtout à la chienne ruth ... il n'a aucun intérêt à s'abaisser à ça et à répondre à Taubira qui avait refusé une fois..",2
